index,image,alt,caption,class
1,neufundland-2018/2018-06-28_162620_D72_3313.jpg,Puffin - Papageitaucher,,active
2,neufundland-2018/2018-06-28_163208_D72_3356.jpg,Seemöwe,,
3,neufundland-2018/2018-06-28_163210_D72_3362.jpg,Seemöwe,,
4,neufundland-2018/2018-06-28_163424_D72_3383.jpg,Seemöwe,,
5,neufundland-2018/2018-06-28_164005_D72_3420.jpg,Puffin - Papageitaucher,,
6,neufundland-2018/2018-06-28_164640_D72_3437.jpg,Puffin - Papageitaucher,,
7,neufundland-2018/2018-06-28_165032_D75_7997.jpg,Anja beim fotografieren,,
8,neufundland-2018/2018-06-28_165530_D72_3460.jpg,Puffin - Papageitaucher,,
9,neufundland-2018/2018-06-28_165531_D72_3461.jpg,Puffin - Papageitaucher,,
10,neufundland-2018/2018-06-28_165531_D72_3462.jpg,Puffin - Papageitaucher,,
11,neufundland-2018/2018-06-28_165531_D72_3463.jpg,Puffin - Papageitaucher,,
12,neufundland-2018/2018-06-28_165531_D72_3464.jpg,Puffin - Papageitaucher,,
14,neufundland-2018/2018-06-28_165955_D72_3500.jpg,Puffin - Papageitaucher,,
15,neufundland-2018/2018-06-28_165955_D72_3501.jpg,Puffin - Papageitaucher,,
16,neufundland-2018/2018-06-28_170723_D72_3504.jpg,Fotografen,,
17,neufundland-2018/2018-06-28_170726_D72_3505.jpg,Fotografen,,
