image,description
foto-blog/Sonnenaufgang_Thomas-Wetterer.jpg,"Sonnenaufgang in Semd aufgenommen in Richtung Süd/Osten."
foto-blog/Sperber.jpg,"Sperber im Garten, der wohl gerade einen Spatz vertilgt."
foto-blog/Thomas_Wetterer_Voller-Regenbogen.jpg,"Voller doppelter Regenbogen über Groß-Umstadt. Aufgenommen mit einem Walimex 8mm Fisheye."
foto-blog/HR3-ThomasWetterer.jpg,"Doppelter Regenbogen über Groß-Umstadt. Bild war am 28.06.2016 auch in der Sendung 'Alle Wetter' auf HR"
foto-blog/DSC_5161.jpg,"test descr2"
foto-blog/DSC_4197.jpg,"test descr2"
foto-blog/DSC_1680.jpg,"test descr2"
foto-blog/DSC_4790.jpg,"test descr2"
foto-blog/DSC_4548.jpg,"test descr2"
foto-blog/IMG_3870.jpg,"test descr2"
foto-blog/IMG_5705.jpg,"test descr2"
foto-blog/DSC_3067.jpg,"test descr2"
foto-blog/DSC_1690.jpg,"test descr2"
