index,image,alt,caption,class
1,2014-05-01-swr3-grillen/20140501-110914-D71_2686.jpg,SWR3 Grillen 2014,,active
2,2014-05-01-swr3-grillen/20140501-115229-D71_2696.jpg,SWR3 Grillen 2014,,
3,2014-05-01-swr3-grillen/20140501-121408-D71_2697.jpg,SWR3 Grillen 2014,,
4,2014-05-01-swr3-grillen/20140501-121909-D71_2699.jpg,SWR3 Grillen 2014,,
5,2014-05-01-swr3-grillen/20140501-142248-D71_2700.jpg,SWR3 Grillen 2014,,
6,2014-05-01-swr3-grillen/20140501-153322-D71_2703.jpg,SWR3 Grillen 2014,,
7,2014-05-01-swr3-grillen/20140501-160140-D71_2705.jpg,SWR3 Grillen 2014,,
8,2014-05-01-swr3-grillen/20140501-172153-D71_2709.jpg,SWR3 Grillen 2014,,
9,2014-05-01-swr3-grillen/20140501-172208-D71_2710.jpg,SWR3 Grillen 2014,,
10,2014-05-01-swr3-grillen/20140501-185956-D71_2713.jpg,SWR3 Grillen 2014,,
