Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz;Platz
1;0:16,99;0:17,01;0:00,02;2
2;0:16,23;0:16,10;0:00,13;9
3;0:17,10;0:17,46;0:00,36;16
4;0:17,26;0:17,37;0:00,11;7
5;0:17,52;0:16,45;0:01,07;37
6;0:19,84;0:20,64;0:00,80;27
7;0:18,23;0:18,54;0:00,31;15
8;0:23,29;0:18,14;0:05,15;47
9;0:23,41;0:22,55;0:00,86;32
10;0:26,46;0:27,75;0:01,29;40
11;0:20,44;0:18,95;0:01,49;42
12;0:16,23;0:16,71;0:00,48;18
13;0:16,37;0:16,07;0:00,30;14
14;0:18,22;0:18,01;0:00,21;11
15;0:18,22;0:16,86;0:01,36;41
16;0:16,43;0:00,00;0:16,43;51
17;0:14,56;0:14,49;0:00,07;5
18;0:15,72;0:16,70;0:00,98;36
19;0:15,46;0:16,13;0:00,67;23
20;0:13,95;0:14,18;0:00,23;12
21;0:17,12;0:16,22;0:00,90;33
22;0:13,85;0:13,94;0:00,09;6
23;0:17,54;0:16,34;0:01,20;39
24;0:14,09;0:14,83;0:00,74;25
25;0:15,09;0:14,28;0:00,81;28
26;0:13,82;0:13,85;0:00,03;3
27;0:23,19;0:22,35;0:00,84;31
28;0:16,36;0:16,25;0:00,11;8
29;0:17,69;0:18,43;0:00,74;24
30;0:14,80;0:13,90;0:00,90;33
31;0:14,61;0:14,59;0:00,02;1
32;0:17,64;0:17,80;0:00,16;10
33;0:17,47;0:17,41;0:00,06;4
34;0:17,43;0:16,59;0:00,84;29
35;0:16,58;0:17,66;0:01,08;38
36;0:16,85;0:16,58;0:00,27;13
37;0:17,00;0:17,61;0:00,61;22
38;0:16,56;0:15,05;0:01,51;43
39;0:17,04;0:15,43;0:01,61;44
40;0:16,04;0:15,57;0:00,47;17
41;0:17,02;0:33,02;0:16,00;50
42;0:21,92;0:31,97;0:10,05;49
43;0:16,11;0:15,34;0:00,77;26
44;0:21,06;0:20,22;0:00,84;30
45;0:17,63;0:18,23;0:00,60;21
46;0:22,51;0:21,93;0:00,58;19
47;0:20,82;0:24,76;0:03,94;46
48;0:21,60;0:19,40;0:02,20;45
49;0:16,69;0:17,28;0:00,59;20
50;0:30,73;0:23,16;0:07,57;48
51;0:16,92;0:17,90;0:00,98;35
52;0:00,00;9:00,00;9:00,00;52
