Start Nr.;Trial Punkte 1;Trial Punkte 2;Gesamtpunkte;Platz
1;0;0;0;1
36;0;0;0;1
65;0;0;0;1
67;0;0;0;1
71;0;0;0;1
12;1;0;1;6
30;1;0;1;6
31;1;0;1;6
41;1;0;1;6
46;0;1;1;6
68;1;0;1;6
6;1;1;2;12
14;1;1;2;12
56;1;1;2;12
4;1;2;3;15
22;3;0;3;15
58;1;2;3;15
62;1;2;3;15
2;2;2;4;19
10;4;0;4;19
44;4;0;4;19
50;2;2;4;19
3;1;4;5;23
13;3;2;5;23
24;5;0;5;23
40;5;0;5;23
54;5;0;5;23
8;5;1;6;28
26;5;1;6;28
33;5;1;6;28
37;3;3;6;28
38;3;3;6;28
39;3;3;6;28
55;5;1;6;28
66;1;5;6;28
70;5;1;6;28
23;4;3;7;37
53;2;5;7;37
57;5;2;7;37
9;4;4;8;40
18;4;4;8;40
19;4;4;8;40
21;5;3;8;40
35;4;4;8;40
43;4;4;8;40
49;3;5;8;40
72;4;4;8;40
73;4;4;8;40
16;4;5;9;49
20;4;5;9;49
29;5;4;9;49
32;4;5;9;49
47;4;5;9;49
69;4;5;9;49
5;5;5;10;55
7;5;5;10;55
11;5;5;10;55
15;5;5;10;55
48;5;5;10;55
52;5;5;10;55
59;5;5;10;55
51;3;20;23;62
17;20;20;40;63
25;20;20;40;63
27;20;20;40;63
28;20;20;40;63
34;20;20;40;63
42;20;20;40;63
45;20;20;40;63
60;20;20;40;63
61;20;20;40;63
63;20;20;40;63
64;20;20;40;63
74;20;20;40;63
