Start Nr.;Trial Punkte 1;Trial Punkte 2;Gesamtpunkte;Platz
1;0;0;0;1
2;2;2;4;19
3;1;4;5;23
4;1;2;3;15
5;5;5;10;55
6;1;1;2;12
7;5;5;10;55
8;5;1;6;28
9;4;4;8;40
10;4;0;4;19
11;5;5;10;55
12;1;0;1;6
13;3;2;5;23
14;1;1;2;12
15;5;5;10;55
16;4;5;9;49
17;20;20;40;63
18;4;4;8;40
19;4;4;8;40
20;4;5;9;49
21;5;3;8;40
22;3;0;3;15
23;4;3;7;37
24;5;0;5;23
25;20;20;40;63
26;5;1;6;28
27;20;20;40;63
28;20;20;40;63
29;5;4;9;49
30;1;0;1;6
31;1;0;1;6
32;4;5;9;49
33;5;1;6;28
34;20;20;40;63
35;4;4;8;40
36;0;0;0;1
37;3;3;6;28
38;3;3;6;28
39;3;3;6;28
40;5;0;5;23
41;1;0;1;6
42;20;20;40;63
43;4;4;8;40
44;4;0;4;19
45;20;20;40;63
46;0;1;1;6
47;4;5;9;49
48;5;5;10;55
49;3;5;8;40
50;2;2;4;19
51;3;20;23;62
52;5;5;10;55
53;2;5;7;37
54;5;0;5;23
55;5;1;6;28
56;1;1;2;12
57;5;2;7;37
58;1;2;3;15
59;5;5;10;55
60;20;20;40;63
61;20;20;40;63
62;1;2;3;15
63;20;20;40;63
64;20;20;40;63
65;0;0;0;1
66;1;5;6;28
67;0;0;0;1
68;1;0;1;6
69;4;5;9;49
70;5;1;6;28
71;0;0;0;1
72;4;4;8;40
73;4;4;8;40
74;20;20;40;63
