Start Nr.;Platz;Gesamtzeit;Zeit 1;Zeit 2
1;5;10,05;4,94;5,11
2;7;10,20;5,09;5,11
3;8;10,21;5,16;5,05
4;4;10,03;4,65;5,38
5;14;10,45;5,34;5,11
6;66;199,98;99,99;99,99
7;20;10,62;5,27;5,35
8;35;11,20;5,55;5,65
9;38;11,30;5,58;5,72
10;10;10,31;5,21;5,10
11;43;11,58;5,85;5,73
12;2;9,60;5,11;4,49
13;66;199,98;99,99;99,99
14;61;12,78;6,87;5,91
15;12;10,34;4,94;5,40
16;40;11,34;5,55;5,79
17;32;11,12;5,55;5,57
18;26;10,92;5,23;5,69
19;1;9,59;4,76;4,83
20;51;11,80;5,63;6,17
21;45;11,62;5,82;5,80
22;27;10,94;5,55;5,39
23;48;11,65;5,37;6,28
24;52;11,86;6,02;5,84
25;47;11,64;5,58;6,06
26;16;10,48;5,18;5,30
27;25;10,88;5,18;5,70
28;12;10,34;5,12;5,22
29;56;12,06;5,60;6,46
30;22;10,77;5,34;5,43
31;15;10,47;5,01;5,46
32;41;11,36;5,63;5,73
33;31;11,07;5,54;5,53
34;58;12,19;6,10;6,09
35;53;11,88;5,70;6,18
36;33;11,17;5,59;5,58
37;17;10,55;5,39;5,16
38;59;12,67;6,25;6,42
39;63;13,08;7,02;6,06
40;8;10,21;5,11;5,10
41;6;10,06;4,82;5,24
42;23;10,83;5,56;5,27
43;29;11,00;5,72;5,28
44;66;199,98;99,99;99,99
45;37;11,28;5,19;6,09
46;3;9,72;3,94;5,78
47;43;11,58;5,96;5,62
48;64;14,33;7,05;7,28
49;21;10,75;5,47;5,28
50;33;11,17;5,60;5,57
51;39;11,32;5,72;5,60
52;50;11,75;5,89;5,86
53;49;11,66;5,84;5,82
54;42;11,39;5,66;5,73
55;36;11,21;5,52;5,69
56;30;11,01;5,50;5,51
57;24;10,84;5,51;5,33
58;46;11,63;5,72;5,91
59;66;199,98;99,99;99,99
60;54;11,98;5,90;6,08
61;28;10,99;5,52;5,47
62;66;199,98;99,99;99,99
63;10;10,31;5,01;5,30
64;59;12,67;6,34;6,33
65;57;12,17;5,91;6,26
66;62;12,92;6,21;6,71
67;19;10,58;5,22;5,36
68;18;10,56;5,09;5,47
69;55;12,01;5,87;6,14
70;66;199,98;99,99;99,99
71;65;14,44;7,16;7,28
72;66;199,98;99,99;99,99
73;66;199,98;99,99;99,99
74;66;199,98;99,99;99,99
