Platz;Start Nr.;Zeitdifferenz;Zeit 1;Zeit 2
1;9;0,01;14,40;14,39
2;3;0,02;14,70;14,68
3;4;0,03;15,16;15,19
3;47;0,03;14,34;14,37
5;22;0,05;15,57;15,62
6;32;0,08;20,12;20,04
7;46;0,09;13,32;13,41
7;48;0,09;18,83;18,74
9;30;0,10;15,39;15,49
10;29;0,11;14,00;13,89
10;31;0,11;17,51;17,62
10;45;0,11;16,59;16,70
13;43;0,15;14,11;14,26
14;7;0,16;12,25;12,09
15;28;0,17;14,53;14,70
16;52;0,22;20,66;20,88
17;23;0,24;15,01;14,77
18;27;0,26;15,10;14,84
19;17;0,30;13,34;13,64
20;11;0,31;19,07;19,38
21;56;0,31;18,14;17,83
22;41;0,33;14,82;14,49
23;12;0,35;15,84;16,19
23;51;0,35;18,13;18,48
25;33;0,36;20,98;20,62
26;10;0,43;15,77;15,34
26;24;0,43;14,83;14,40
28;67;0,45;12,51;12,06
29;2;0,47;15,17;15,64
30;55;0,50;12,68;13,18
31;20;0,57;13,75;13,18
32;5;0,61;10,82;11,43
33;49;0,62;16,71;17,33
34;36;0,65;17,06;17,71
35;57;0,66;11,80;11,14
35;65;0,66;16,12;15,46
37;53;0,71;18,02;18,73
38;6;0,77;11,61;12,38
39;25;0,78;14,13;14,91
40;21;0,81;13,31;14,12
41;26;0,83;15,44;16,27
42;61;0,84;16,99;17,83
43;66;0,85;15,90;16,75
44;54;0,96;17,26;18,22
45;14;0,98;15,66;14,68
45;64;0,98;20,09;19,11
47;71;1,01;23,16;24,17
48;42;1,08;14,79;13,71
49;50;1,13;20,66;19,53
50;38;1,18;37,27;36,09
51;63;1,19;14,47;13,28
52;34;1,27;22,99;24,26
53;69;1,47;17,13;15,66
54;15;1,52;25,55;24,03
55;58;1,88;18,39;20,27
56;68;1,93;19,22;17,29
57;19;2,09;12,83;14,92
58;35;2,24;23,13;25,37
59;8;2,34;14,56;16,90
60;60;2,34;16,59;14,25
61;18;3,26;18,48;15,22
62;39;4,39;26,74;22,35
63;37;6,17;16,02;22,19
64;1;98,00;1,00;99,00
64;13;98,00;1,00;99,00
64;16;98,00;1,00;99,00
64;40;98,00;1,00;99,00
64;44;98,00;1,00;99,00
64;59;98,00;1,00;99,00
64;62;98,00;1,00;99,00
64;70;98,00;1,00;99,00
64;72;98,00;1,00;99,00
64;73;98,00;1,00;99,00
64;74;98,00;1,00;99,00
