Start Nr.;Platz;Gesamtpunkte;Trial Punkte 1;Trial Punkte 2
1;62;40;20;20
2;43;10;5;5
3;43;10;5;5
4;1;0;0;0
5;5;1;1;0
6;1;0;0;0
7;31;8;3;5
8;31;8;3;5
9;12;4;3;1
10;9;3;2;1
11;43;10;5;5
12;1;0;0;0
13;62;40;20;20
14;43;10;5;5
15;12;4;3;1
16;62;40;20;20
17;9;3;3;0
18;31;8;3;5
19;5;1;0;1
20;43;10;5;5
21;14;5;5;0
22;43;10;5;5
23;18;6;3;3
24;14;5;3;2
25;31;8;3;5
26;18;6;3;3
27;31;8;5;3
28;14;5;5;0
29;43;10;5;5
30;18;6;3;3
31;43;10;5;5
32;43;10;5;5
33;31;8;5;3
34;18;6;3;3
35;43;10;5;5
36;18;6;3;3
37;8;2;1;1
38;43;10;5;5
39;31;8;3;5
40;62;40;20;20
41;18;6;3;3
42;31;8;5;3
43;43;10;5;5
44;62;40;20;20
45;5;1;1;0
46;18;6;1;5
47;18;6;5;1
48;43;10;5;5
49;18;6;3;3
50;43;10;5;5
51;43;10;5;5
52;18;6;3;3
53;31;8;5;3
54;62;40;20;20
55;9;3;2;1
56;14;5;3;2
57;1;0;0;0
58;61;25;5;20
59;62;40;20;20
60;43;10;5;5
61;31;8;3;5
62;62;40;20;20
63;18;6;3;3
64;62;40;20;20
65;18;6;3;3
66;31;8;5;3
67;18;6;5;1
68;43;10;5;5
69;31;8;5;3
70;62;40;20;20
71;43;10;5;5
72;62;40;20;20
73;62;40;20;20
74;62;40;20;20
