Platz;Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz
3;1;1:26,97;1:27,15;00:00,18
7;2;1:37,44;1:37,77;00:00,33
19;3;1:35,71;1:34,72;00:00,99
54;4;1:48,21;1:44,75;00:03,46
65;5;1:33,97;1:51,58;00:17,61
53;6;1:41,68;1:45,07;00:03,39
21;7;1:57,90;1:58,90;00:01,00
60;8;1:37,44;1:43,49;00:06,05
23;9;1:30,47;1:31,57;00:01,10
35;10;1:36,21;1:38,08;00:01,87
40;11;1:33,80;1:31,68;00:02,12
64;12;2:14,78;2:05,97;00:08,81
50;13;1:36,33;1:33,32;00:03,01
32;14;1:57,46;1:59,24;00:01,78
25;15;1:32,98;1:31,79;00:01,19
38;16;1:35,70;1:33,66;00:02,04
20;17;1:39,56;1:40,55;00:00,99
11;18;1:48,64;1:49,32;00:00,68
45;19;1:49,74;1:47,38;00:02,36
15;20;1:38,89;1:39,75;00:00,86
27;21;1:37,67;1:36,38;00:01,29
22;22;1:42,44;1:41,42;00:01,02
59;23;1:36,59;1:42,41;00:05,82
14;24;1:27,34;1:28,18;00:00,84
18;25;1:38,57;1:39,53;00:00,96
6;26;1:28,23;1:28,49;00:00,26
39;27;1:31,52;1:33,63;00:02,11
33;28;1:36,05;1:37,84;00:01,79
55;29;1:41,50;1:45,45;00:03,95
4;30;1:42,02;1:41,83;00:00,19
41;31;1:33,78;1:35,92;00:02,14
67;32;0:00,00;40:00,00;40:00,00
58;33;2:03,77;1:58,28;00:05,49
29;34;1:39,57;1:41,12;00:01,55
62;35;1:50,62;1:57,02;00:06,40
1;36;1:47,73;1:47,78;00:00,05
46;37;1:56,00;1:53,36;00:02,64
30;38;1:49,78;1:51,41;00:01,63
24;39;1:46,31;1:47,42;00:01,11
51;40;1:44,20;1:41,11;00:03,09
67;41;0:00,00;40:00,00;40:00,00
61;42;1:32,47;1:38,81;00:06,34
67;43;0:00,00;40:00,00;40:00,00
26;44;1:40,12;1:41,41;00:01,29
66;45;1:36,03;40:00,00;38:23,97
37;46;1:39,91;1:41,94;00:02,03
16;47;1:37,42;1:36,53;00:00,89
42;48;1:45,85;1:43,58;00:02,27
17;49;1:33,34;1:34,28;00:00,94
56;50;1:24,79;1:29,55;00:04,76
44;51;1:43,73;1:46,07;00:02,34
9;52;1:35,29;1:35,83;00:00,54
2;53;1:27,66;1:27,60;00:00,06
49;54;2:00,13;1:57,20;00:02,93
36;55;1:40,49;1:38,56;00:01,93
8;56;1:48,51;1:49,00;00:00,49
5;57;1:44,71;1:44,91;00:00,20
67;58;0:00,00;40:00,00;40:00,00
48;59;1:52,77;1:55,66;00:02,89
67;60;0:00,00;40:00,00;40:00,00
34;61;1:44,09;1:45,95;00:01,86
57;62;2:27,85;2:22,52;00:05,33
28;63;2:08,93;2:07,57;00:01,36
52;64;2:15,05;2:11,88;00:03,17
13;65;1:57,43;1:56,68;00:00,75
12;66;2:08,70;2:08,01;00:00,69
47;67;2:18,23;2:15,41;00:02,82
31;68;1:58,82;1:57,15;00:01,67
10;69;2:05,19;2:05,75;00:00,56
67;70;0:00,00;40:00,00;40:00,00
67;71;0:00,00;40:00,00;40:00,00
67;72;0:00,00;40:00,00;40:00,00
63;73;2:03,53;2:10,64;00:07,11
43;74;2:22,54;2:20,25;00:02,29
67;75;0:00,00;40:00,00;40:00,00
67;76;0:00,00;40:00,00;40:00,00
67;77;0:00,00;40:00,00;40:00,00
67;78;0:00,00;40:00,00;40:00,00
67;79;0:00,00;40:00,00;40:00,00
67;80;0:00,00;40:00,00;40:00,00
67;81;0:00,00;40:00,00;40:00,00
67;82;0:00,00;40:00,00;40:00,00
67;83;0:00,00;40:00,00;40:00,00
67;84;0:00,00;40:00,00;40:00,00
67;85;0:00,00;40:00,00;40:00,00
67;86;0:00,00;40:00,00;40:00,00
67;87;0:00,00;40:00,00;40:00,00
67;88;0:00,00;40:00,00;40:00,00
67;89;0:00,00;40:00,00;40:00,00
67;90;0:00,00;40:00,00;40:00,00
67;91;0:00,00;40:00,00;40:00,00
67;92;0:00,00;40:00,00;40:00,00
67;93;0:00,00;40:00,00;40:00,00
67;94;0:00,00;40:00,00;40:00,00
67;95;0:00,00;40:00,00;40:00,00
67;96;0:00,00;40:00,00;40:00,00
67;97;0:00,00;40:00,00;40:00,00
67;98;0:00,00;40:00,00;40:00,00
67;99;0:00,00;40:00,00;40:00,00
