Platz;Start Nr.;Zeit 1;Zeit 2;Gesamtzeit
1;58;00:04,97;00:04,47;00:09,44
2;21;00:04,86;00:04,80;00:09,66
3;38;00:04,88;00:04,97;00:09,85
4;70;00:04,87;00:05,05;00:09,92
5;46;00:05,19;00:04,82;00:10,01
6;9;00:04,85;00:05,36;00:10,21
6;39;00:04,95;00:05,26;00:10,21
8;16;00:05,24;00:05,01;00:10,25
9;13;00:05,01;00:05,26;00:10,27
10;28;00:05,32;00:05,07;00:10,39
10;56;00:04,90;00:05,49;00:10,39
12;15;00:05,54;00:04,95;00:10,49
13;32;00:05,29;00:05,36;00:10,65
14;23;00:05,30;00:05,36;00:10,66
15;2;00:05,19;00:05,49;00:10,68
16;71;00:05,43;00:05,30;00:10,73
17;8;00:05,24;00:05,53;00:10,77
18;5;00:05,35;00:05,48;00:10,83
19;19;00:05,51;00:05,34;00:10,85
20;24;00:05,50;00:05,47;00:10,97
21;68;00:05,50;00:05,49;00:10,99
22;45;00:05,55;00:05,47;00:11,02
23;12;00:05,41;00:05,76;00:11,17
23;76;00:05,53;00:05,64;00:11,17
25;7;00:05,38;00:05,83;00:11,21
26;4;00:05,63;00:05,60;00:11,23
26;18;00:05,98;00:05,25;00:11,23
26;25;00:05,77;00:05,46;00:11,23
29;29;00:05,44;00:05,79;00:11,23
30;26;00:05,89;00:05,46;00:11,35
31;10;00:05,19;00:06,23;00:11,42
32;1;00:05,53;00:05,92;00:11,45
33;51;00:05,62;00:05,88;00:11,50
34;14;00:05,74;00:05,77;00:11,51
35;34;00:05,73;00:05,90;00:11,63
36;52;00:05,79;00:05,92;00:11,71
37;30;00:06,03;00:05,73;00:11,76
37;75;00:05,83;00:05,93;00:11,76
39;48;00:05,85;00:05,92;00:11,77
40;59;00:06,03;00:05,77;00:11,80
41;57;00:05,70;00:06,13;00:11,83
42;62;00:05,82;00:06,11;00:11,93
43;72;00:05,72;00:06,32;00:12,04
44;33;00:06,03;00:06,20;00:12,23
45;44;00:06,30;00:05,97;00:12,27
46;49;00:06,64;00:05,86;00:12,50
47;31;00:06,52;00:06,00;00:12,52
48;73;00:05,99;00:06,55;00:12,54
49;20;00:06,39;00:06,19;00:12,58
49;67;00:06,21;00:06,37;00:12,58
51;47;00:06,38;00:06,63;00:13,01
52;35;00:06,30;00:06,72;00:13,02
53;64;00:06,70;00:06,38;00:13,08
53;65;00:06,63;00:06,45;00:13,08
55;42;00:06,53;00:06,70;00:13,23
55;55;00:06,82;00:06,41;00:13,23
57;6;00:07,10;00:06,28;00:13,38
58;54;00:06,58;00:07,04;00:13,62
59;22;00:07,15;00:06,63;00:13,78
59;43;00:06,83;00:06,95;00:13,78
61;3;00:06,80;00:06,99;00:13,79
62;69;00:07,24;00:06,65;00:13,89
63;50;00:07,51;00:06,72;00:14,23
64;36;00:07,21;00:07,37;00:14,58
65;27;00:07,65;00:06,94;00:14,59
66;41;00:07,18;00:07,46;00:14,64
67;63;00:07,24;00:07,57;00:14,81
68;37;00:07,38;00:07,86;00:15,24
69;66;00:07,77;00:07,50;00:15,27
70;11;00:07,93;00:08,27;00:16,20
71;17;09:59,99;09:59,99;19:59,98
72;40;09:59,99;09:59,99;19:59,98
73;53;09:59,99;09:59,99;19:59,98
74;60;09:59,99;09:59,99;19:59,98
75;61;09:59,99;09:59,99;19:59,98
76;74;09:59,99;09:59,99;19:59,98
76;77;09:59,99;09:59,99;19:59,98
