Platz;Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz
1;45;01:11,46;01:11,46;00:00,00
2;19;01:11,53;01:11,51;00:00,02
3;34;01:05,21;01:05,27;00:00,06
4;72;01:06,90;01:06,96;00:00,06
5;38;00:59,83;00:59,91;00:00,08
6;1;01:09,56;01:09,69;00:00,13
7;65;01:23,54;01:23,72;00:00,18
8;21;01:01,36;01:01,13;00:00,23
9;2;01:02,80;01:03,13;00:00,33
10;16;01:12,10;01:12,44;00:00,34
11;58;01:05,59;01:05,21;00:00,38
12;20;01:20,10;01:20,50;00:00,40
13;49;01:23,32;01:23,75;00:00,43
14;68;01:11,82;01:12,37;00:00,55
15;37;01:50,22;01:50,79;00:00,57
16;73;01:42,97;01:42,39;00:00,58
17;47;01:28,86;01:29,44;00:00,58
18;27;01:36,13;01:36,78;00:00,65
19;26;01:14,80;01:15,53;00:00,73
20;70;01:06,21;01:07,01;00:00,80
21;66;01:16,62;01:17,44;00:00,82
22;59;01:04,97;01:05,79;00:00,82
23;50;01:34,47;01:35,45;00:00,98
24;9;00:56,44;00:57,54;00:01,10
25;35;01:17,09;01:15,87;00:01,22
26;14;01:03,36;01:02,09;00:01,27
27;67;01:13,50;01:12,21;00:01,29
28;22;01:08,15;01:09,60;00:01,45
29;30;01:02,21;01:03,76;00:01,55
30;32;01:14,66;01:16,42;00:01,76
31;52;01:20,68;01:22,52;00:01,84
32;6;01:23,75;01:21,90;00:01,85
33;57;01:08,70;01:10,56;00:01,86
34;18;01:03,13;01:05,03;00:01,90
35;56;01:05,97;01:07,89;00:01,92
36;36;01:32,93;01:34,89;00:01,96
37;3;01:24,52;01:26,50;00:01,98
38;44;01:17,47;01:15,40;00:02,07
39;42;01:19,31;01:17,16;00:02,15
40;29;01:08,77;01:11,00;00:02,23
41;69;01:35,91;01:33,41;00:02,50
42;48;01:19,70;01:22,32;00:02,62
43;55;01:12,94;01:15,56;00:02,62
44;41;01:15,60;01:12,97;00:02,63
45;46;01:05,20;01:07,89;00:02,69
46;8;01:14,56;01:17,28;00:02,72
47;76;01:03,66;01:00,91;00:02,75
48;7;01:10,33;01:07,56;00:02,77
49;33;01:23,87;01:21,09;00:02,78
50;39;01:04,20;01:07,05;00:02,85
51;25;01:07,50;01:10,37;00:02,87
52;12;01:11,25;01:08,29;00:02,96
52;43;01:24,53;01:27,49;00:02,96
54;63;01:45,89;01:48,88;00:02,99
55;24;01:06,38;01:09,41;00:03,03
56;4;01:04,52;01:07,59;00:03,07
57;13;01:04,79;01:07,93;00:03,14
58;15;01:12,24;01:08,83;00:03,41
59;31;01:15,41;01:18,91;00:03,50
60;23;01:08,28;01:04,13;00:04,15
61;71;01:10,20;01:14,69;00:04,49
62;75;01:19,09;01:23,69;00:04,60
63;28;01:09,50;01:04,11;00:05,39
64;64;01:16,05;01:22,87;00:06,82
65;10;01:19,84;01:29,28;00:09,44
66;54;01:18,21;01:28,31;00:10,10
67;62;01:15,71;01:05,28;00:10,43
68;51;01:12,63;01:30,18;00:17,55
69;11;02:28,43;02:02,16;00:26,27
70;5;01:24,73;01:59,72;00:34,99
71;40;09:59,99;00:00,00;09:59,99
71;53;09:59,99;00:00,00;09:59,99
71;60;09:59,99;00:00,00;09:59,99
71;61;09:59,99;00:00,00;09:59,99
71;74;09:59,99;00:00,00;09:59,99
71;77;09:59,99;00:00,00;09:59,99
77;17;09:59,99;00:00,00;09:59,99
