Start Nr.;Platz;Zeit 1;Zeit 2;Zeitdifferenz
1;6;01:09,56;01:09,69;00:00,13
2;9;01:02,80;01:03,13;00:00,33
3;37;01:24,52;01:26,50;00:01,98
4;56;01:04,52;01:07,59;00:03,07
5;70;01:24,73;01:59,72;00:34,99
6;32;01:23,75;01:21,90;00:01,85
7;48;01:10,33;01:07,56;00:02,77
8;46;01:14,56;01:17,28;00:02,72
9;24;00:56,44;00:57,54;00:01,10
10;65;01:19,84;01:29,28;00:09,44
11;69;02:28,43;02:02,16;00:26,27
12;52;01:11,25;01:08,29;00:02,96
13;57;01:04,79;01:07,93;00:03,14
14;26;01:03,36;01:02,09;00:01,27
15;58;01:12,24;01:08,83;00:03,41
16;10;01:12,10;01:12,44;00:00,34
17;77;09:59,99;00:00,00;09:59,99
18;34;01:03,13;01:05,03;00:01,90
19;2;01:11,53;01:11,51;00:00,02
20;12;01:20,10;01:20,50;00:00,40
21;8;01:01,36;01:01,13;00:00,23
22;28;01:08,15;01:09,60;00:01,45
23;60;01:08,28;01:04,13;00:04,15
24;55;01:06,38;01:09,41;00:03,03
25;51;01:07,50;01:10,37;00:02,87
26;19;01:14,80;01:15,53;00:00,73
27;18;01:36,13;01:36,78;00:00,65
28;63;01:09,50;01:04,11;00:05,39
29;40;01:08,77;01:11,00;00:02,23
30;29;01:02,21;01:03,76;00:01,55
31;59;01:15,41;01:18,91;00:03,50
32;30;01:14,66;01:16,42;00:01,76
33;49;01:23,87;01:21,09;00:02,78
34;3;01:05,21;01:05,27;00:00,06
35;25;01:17,09;01:15,87;00:01,22
36;36;01:32,93;01:34,89;00:01,96
37;15;01:50,22;01:50,79;00:00,57
38;5;00:59,83;00:59,91;00:00,08
39;50;01:04,20;01:07,05;00:02,85
40;71;09:59,99;00:00,00;09:59,99
41;44;01:15,60;01:12,97;00:02,63
42;39;01:19,31;01:17,16;00:02,15
43;52;01:24,53;01:27,49;00:02,96
44;38;01:17,47;01:15,40;00:02,07
45;1;01:11,46;01:11,46;00:00,00
46;45;01:05,20;01:07,89;00:02,69
47;17;01:28,86;01:29,44;00:00,58
48;42;01:19,70;01:22,32;00:02,62
49;13;01:23,32;01:23,75;00:00,43
50;23;01:34,47;01:35,45;00:00,98
51;68;01:12,63;01:30,18;00:17,55
52;31;01:20,68;01:22,52;00:01,84
53;71;09:59,99;00:00,00;09:59,99
54;66;01:18,21;01:28,31;00:10,10
55;43;01:12,94;01:15,56;00:02,62
56;35;01:05,97;01:07,89;00:01,92
57;33;01:08,70;01:10,56;00:01,86
58;11;01:05,59;01:05,21;00:00,38
59;22;01:04,97;01:05,79;00:00,82
60;71;09:59,99;00:00,00;09:59,99
61;71;09:59,99;00:00,00;09:59,99
62;67;01:15,71;01:05,28;00:10,43
63;54;01:45,89;01:48,88;00:02,99
64;64;01:16,05;01:22,87;00:06,82
65;7;01:23,54;01:23,72;00:00,18
66;21;01:16,62;01:17,44;00:00,82
67;27;01:13,50;01:12,21;00:01,29
68;14;01:11,82;01:12,37;00:00,55
69;41;01:35,91;01:33,41;00:02,50
70;20;01:06,21;01:07,01;00:00,80
71;61;01:10,20;01:14,69;00:04,49
72;4;01:06,90;01:06,96;00:00,06
73;16;01:42,97;01:42,39;00:00,58
74;71;09:59,99;00:00,00;09:59,99
75;62;01:19,09;01:23,69;00:04,60
76;47;01:03,66;01:00,91;00:02,75
77;71;09:59,99;00:00,00;09:59,99
