Platz;Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz
1;20;00:17,83;00:17,83;00:00,00
2;1;00:12,38;00:12,40;00:00,02
3;21;00:10,50;00:10,53;00:00,03
4;27;00:15,95;00:15,91;00:00,04
5;45;00:12,93;00:12,97;00:00,04
5;59;00:12,13;00:12,09;00:00,04
7;22;00:14,69;00:14,64;00:00,05
8;51;00:10,39;00:10,48;00:00,09
9;72;00:12,75;00:12,87;00:00,12
10;19;00:13,15;00:13,29;00:00,14
11;7;00:10,87;00:11,01;00:00,14
12;37;00:18,51;00:18,68;00:00,17
13;46;00:09,82;00:10,03;00:00,21
14;54;00:14,95;00:15,18;00:00,23
15;68;00:13,90;00:14,13;00:00,23
16;18;00:11,66;00:11,38;00:00,28
17;66;00:14,80;00:14,50;00:00,30
18;39;00:13,58;00:13,25;00:00,33
19;41;00:13,73;00:14,06;00:00,33
20;2;00:12,22;00:11,87;00:00,35
21;56;00:12,29;00:12,66;00:00,37
22;47;00:18,26;00:17,88;00:00,38
23;5;00:11,75;00:12,14;00:00,39
24;34;00:13,22;00:12,76;00:00,46
25;8;00:11,83;00:11,36;00:00,47
25;32;00:14,30;00:13,83;00:00,47
27;76;00:10,86;00:10,39;00:00,47
28;14;00:10,71;00:10,24;00:00,47
28;55;00:14,48;00:14,95;00:00,47
30;43;00:15,48;00:16,00;00:00,52
31;38;00:10,08;00:10,63;00:00,55
32;10;00:15,04;00:14,46;00:00,58
33;16;00:13,61;00:14,20;00:00,59
34;26;00:13,46;00:14,06;00:00,60
35;50;00:18,91;00:19,57;00:00,66
36;30;00:12,65;00:13,33;00:00,68
37;36;00:19,28;00:18,55;00:00,73
38;29;00:14,91;00:15,74;00:00,83
39;70;00:13,23;00:12,32;00:00,91
40;23;00:12,12;00:13,04;00:00,92
41;3;00:15,89;00:14,94;00:00,95
42;9;00:12,62;00:11,66;00:00,96
43;62;00:19,01;00:18,04;00:00,97
44;71;00:13,11;00:12,04;00:01,07
45;35;00:15,29;00:14,21;00:01,08
46;6;00:14,95;00:16,05;00:01,10
47;65;00:14,55;00:15,67;00:01,12
48;49;00:16,19;00:17,38;00:01,19
49;13;00:11,46;00:10,12;00:01,34
50;28;00:12,51;00:11,16;00:01,35
51;24;00:14,95;00:13,60;00:01,35
52;58;00:12,11;00:13,47;00:01,36
53;4;00:16,81;00:18,26;00:01,45
54;64;00:13,81;00:12,26;00:01,55
55;15;00:14,51;00:12,91;00:01,60
56;48;00:15,07;00:13,37;00:01,70
57;73;00:15,54;00:17,79;00:02,25
58;67;00:19,37;00:16,25;00:03,12
59;52;00:18,88;00:15,71;00:03,17
60;69;00:23,01;00:19,20;00:03,81
61;42;00:14,27;00:18,23;00:03,96
62;33;00:18,86;00:22,97;00:04,11
63;25;00:13,12;00:19,40;00:06,28
64;63;00:28,05;00:39,04;00:10,99
65;12;00:14,98;00:26,47;00:11,49
66;57;01:04,43;00:42,36;00:22,07
67;44;00:49,03;00:17,22;00:31,81
68;11;01:34,46;00:45,21;00:49,25
69;31;00:15,17;01:39,34;01:24,17
70;75;00:12,98;05:08,59;04:55,61
71;40;09:59,99;00:00,00;09:59,99
71;61;09:59,99;00:00,00;09:59,99
71;74;09:59,99;00:00,00;09:59,99
71;77;09:59,99;00:00,00;09:59,99
75;17;09:59,99;00:00,00;09:59,99
76;53;09:59,99;00:00,00;09:59,99
76;60;09:59,99;00:00,00;09:59,99
