Start Nr.;Platz;Zeit 1;Zeit 2;Zeitdifferenz
1;2;00:12,38;00:12,40;00:00,02
2;20;00:12,22;00:11,87;00:00,35
3;41;00:15,89;00:14,94;00:00,95
4;53;00:16,81;00:18,26;00:01,45
5;23;00:11,75;00:12,14;00:00,39
6;46;00:14,95;00:16,05;00:01,10
7;11;00:10,87;00:11,01;00:00,14
8;25;00:11,83;00:11,36;00:00,47
9;42;00:12,62;00:11,66;00:00,96
10;32;00:15,04;00:14,46;00:00,58
11;68;01:34,46;00:45,21;00:49,25
12;65;00:14,98;00:26,47;00:11,49
13;49;00:11,46;00:10,12;00:01,34
14;28;00:10,71;00:10,24;00:00,47
15;55;00:14,51;00:12,91;00:01,60
16;33;00:13,61;00:14,20;00:00,59
17;75;09:59,99;00:00,00;09:59,99
18;16;00:11,66;00:11,38;00:00,28
19;10;00:13,15;00:13,29;00:00,14
20;1;00:17,83;00:17,83;00:00,00
21;3;00:10,50;00:10,53;00:00,03
22;7;00:14,69;00:14,64;00:00,05
23;40;00:12,12;00:13,04;00:00,92
24;51;00:14,95;00:13,60;00:01,35
25;63;00:13,12;00:19,40;00:06,28
26;34;00:13,46;00:14,06;00:00,60
27;4;00:15,95;00:15,91;00:00,04
28;50;00:12,51;00:11,16;00:01,35
29;38;00:14,91;00:15,74;00:00,83
30;36;00:12,65;00:13,33;00:00,68
31;69;00:15,17;01:39,34;01:24,17
32;25;00:14,30;00:13,83;00:00,47
33;62;00:18,86;00:22,97;00:04,11
34;24;00:13,22;00:12,76;00:00,46
35;45;00:15,29;00:14,21;00:01,08
36;37;00:19,28;00:18,55;00:00,73
37;12;00:18,51;00:18,68;00:00,17
38;31;00:10,08;00:10,63;00:00,55
39;18;00:13,58;00:13,25;00:00,33
40;71;09:59,99;00:00,00;09:59,99
41;19;00:13,73;00:14,06;00:00,33
42;61;00:14,27;00:18,23;00:03,96
43;30;00:15,48;00:16,00;00:00,52
44;67;00:49,03;00:17,22;00:31,81
45;5;00:12,93;00:12,97;00:00,04
46;13;00:09,82;00:10,03;00:00,21
47;22;00:18,26;00:17,88;00:00,38
48;56;00:15,07;00:13,37;00:01,70
49;48;00:16,19;00:17,38;00:01,19
50;35;00:18,91;00:19,57;00:00,66
51;8;00:10,39;00:10,48;00:00,09
52;59;00:18,88;00:15,71;00:03,17
53;76;09:59,99;00:00,00;09:59,99
54;14;00:14,95;00:15,18;00:00,23
55;28;00:14,48;00:14,95;00:00,47
56;21;00:12,29;00:12,66;00:00,37
57;66;01:04,43;00:42,36;00:22,07
58;52;00:12,11;00:13,47;00:01,36
59;5;00:12,13;00:12,09;00:00,04
60;76;09:59,99;00:00,00;09:59,99
61;71;09:59,99;00:00,00;09:59,99
62;43;00:19,01;00:18,04;00:00,97
63;64;00:28,05;00:39,04;00:10,99
64;54;00:13,81;00:12,26;00:01,55
65;47;00:14,55;00:15,67;00:01,12
66;17;00:14,80;00:14,50;00:00,30
67;58;00:19,37;00:16,25;00:03,12
68;15;00:13,90;00:14,13;00:00,23
69;60;00:23,01;00:19,20;00:03,81
70;39;00:13,23;00:12,32;00:00,91
71;44;00:13,11;00:12,04;00:01,07
72;9;00:12,75;00:12,87;00:00,12
73;57;00:15,54;00:17,79;00:02,25
74;71;09:59,99;00:00,00;09:59,99
75;70;00:12,98;05:08,59;04:55,61
76;27;00:10,86;00:10,39;00:00,47
77;71;09:59,99;00:00,00;09:59,99
