Start Nr.;Zeit 1;Zeit 2;Gesamtzeit;Platz
49;4,25;4,61;8,86;1
52;4,41;4,62;9,03;2
47;4,55;4,51;9,06;3
14;4,58;4,68;9,26;4
23;4,57;4,72;9,29;5
24;4,31;4,99;9,30;6
71;4,67;4,69;9,36;7
58;4,40;4,97;9,37;8
11;4,56;4,87;9,43;9
40;4,61;4,90;9,51;10
33;4,82;4,74;9,56;11
66;4,77;4,79;9,56;11
56;4,73;4,87;9,60;13
2;4,72;4,94;9,66;14
20;4,84;4,85;9,69;15
72;4,72;4,97;9,69;15
41;4,71;5,00;9,71;17
50;4,62;5,09;9,71;17
18;4,84;4,90;9,74;19
70;4,67;5,09;9,76;20
13;4,84;4,94;9,78;21
26;4,62;5,18;9,80;22
31;4,85;4,98;9,83;23
55;4,92;4,93;9,85;24
65;4,85;5,05;9,90;25
62;4,86;5,06;9,92;26
4;4,98;4,98;9,96;27
54;4,92;5,05;9,97;28
53;5,37;4,62;9,99;29
59;4,77;5,22;9,99;29
1;4,96;5,04;10,00;31
6;4,96;5,06;10,02;32
68;4,96;5,06;10,02;32
64;4,80;5,23;10,03;34
43;5,04;5,00;10,04;35
61;4,98;5,08;10,06;36
12;4,99;5,14;10,13;37
3;5,09;5,05;10,14;38
29;4,95;5,19;10,14;38
32;5,08;5,06;10,14;38
21;5,22;5,00;10,22;41
27;5,17;5,06;10,23;42
15;5,15;5,10;10,25;43
67;5,07;5,18;10,25;43
30;4,95;5,31;10,26;45
51;5,19;5,08;10,27;46
69;5,03;5,26;10,29;47
28;5,20;5,14;10,34;48
38;4,58;5,81;10,39;49
48;5,28;5,12;10,40;50
9;5,42;5,02;10,44;51
22;5,15;5,38;10,53;52
44;5,45;5,11;10,56;53
73;5,13;5,47;10,60;54
57;5,11;5,51;10,62;55
35;5,45;5,61;11,06;56
46;5,72;5,34;11,06;56
16;5,63;5,70;11,33;58
7;5,63;5,80;11,43;59
8;6,12;5,50;11,62;60
39;6,15;5,86;12,01;61
10;5,98;6,17;12,15;62
19;6,05;6,26;12,31;63
36;6,08;6,41;12,49;64
37;6,52;6,29;12,81;65
5;7,49;5,64;13,13;66
42;6,68;7,32;14,00;67
45;5,26;99,99;105,25;68
63;5,81;99,99;105,80;69
17;99,99;99,99;199,98;70
25;99,99;99,99;199,98;70
34;99,99;99,99;199,98;70
60;99,99;99,99;199,98;70
74;99,99;99,99;199,98;70
