Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz;Platz
62;1:47,00;1:46,90;0:00,10;1
70;1:48,20;1:48,10;0:00,10;1
40;1:36,90;1:37,10;0:00,20;3
41;1:50,40;1:50,60;0:00,20;3
6;1:55,20;1:55,50;0:00,30;5
24;1:50,60;1:50,30;0:00,30;5
44;1:47,40;1:47,70;0:00,30;5
55;1:37,00;1:36,70;0:00,30;5
33;1:50,70;1:50,30;0:00,40;9
66;1:50,90;1:50,50;0:00,40;9
21;1:58,20;1:58,70;0:00,50;11
32;1:51,30;1:52,00;0:00,70;12
22;2:06,70;2:05,90;0:00,80;13
73;2:15,80;2:16,60;0:00,80;13
13;1:50,70;1:49,80;0:00,90;15
29;2:07,60;2:08,60;0:01,00;16
58;1:59,10;2:00,10;0:01,00;16
1;2:02,20;2:01,00;0:01,20;18
5;2:18,20;2:17,00;0:01,20;18
19;2:35,80;2:37,20;0:01,40;20
14;1:55,40;1:53,90;0:01,50;21
52;2:05,00;2:03,40;0:01,60;22
65;1:40,80;1:42,40;0:01,60;22
54;2:08,00;2:06,10;0:01,90;24
49;1:59,70;1:57,70;0:02,00;25
50;1:51,40;1:53,40;0:02,00;25
72;2:03,80;2:01,80;0:02,00;25
53;1:45,90;1:48,10;0:02,20;28
38;2:10,30;2:08,00;0:02,30;29
68;1:44,70;1:47,00;0:02,30;29
48;2:06,40;2:04,00;0:02,40;31
35;2:18,20;2:20,80;0:02,60;32
46;1:42,00;1:44,70;0:02,70;33
10;1:55,90;1:53,10;0:02,80;34
15;2:45,40;2:48,20;0:02,80;34
30;2:02,60;2:05,40;0:02,80;34
57;1:55,70;1:52,90;0:02,80;34
36;1:49,90;1:47,00;0:02,90;38
43;2:08,20;2:11,30;0:03,10;39
26;2:17,00;2:13,50;0:03,50;40
67;2:18,20;2:14,70;0:03,50;40
18;2:39,90;2:36,10;0:03,80;42
37;2:22,50;2:18,50;0:04,00;43
2;1:50,70;1:54,80;0:04,10;44
71;1:43,30;1:47,50;0:04,20;45
3;2:00,30;2:04,70;0:04,40;46
59;2:02,30;1:57,70;0:04,60;47
23;2:15,50;2:20,60;0:05,10;48
31;1:47,10;1:41,70;0:05,40;49
16;2:08,50;2:02,90;0:05,60;50
56;2:12,20;2:06,60;0:05,60;50
11;2:01,30;2:07,40;0:06,10;52
9;2:03,00;1:56,80;0:06,20;53
12;1:34,50;1:42,40;0:07,90;54
47;2:31,00;2:23,00;0:08,00;55
8;1:53,00;2:01,30;0:08,30;56
39;2:14,20;2:05,90;0:08,30;56
4;1:50,50;1:41,50;0:09,00;58
7;2:19,30;2:38,70;0:19,40;59
69;2:07,00;3:32,00;1:25,00;60
17;0:00,00;59:00,00;59:00,00;61
20;0:00,00;59:00,00;59:00,00;61
25;0:00,00;59:00,00;59:00,00;61
27;0:00,00;59:00,00;59:00,00;61
28;0:00,00;59:00,00;59:00,00;61
34;0:00,00;59:00,00;59:00,00;61
42;0:00,00;59:00,00;59:00,00;61
45;0:00,00;59:00,00;59:00,00;61
51;0:00,00;59:00,00;59:00,00;61
60;0:00,00;59:00,00;59:00,00;61
61;0:00,00;59:00,00;59:00,00;61
63;0:00,00;59:00,00;59:00,00;61
64;0:00,00;59:00,00;59:00,00;61
74;0:00,00;59:00,00;59:00,00;61
