Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz;Platz
1;14,49;13,96;0,53;26
2;12,74;13,15;0,41;22
3;14,34;13,90;0,44;23
4;12,73;11,89;0,84;40
5;15,68;15,14;0,54;27
6;11,37;10,46;0,91;42
7;15,66;15,71;0,05;3
8;12,54;12,60;0,06;4
9;14,82;14,43;0,39;18
10;14,31;13,46;0,85;41
11;15,22;14,55;0,67;32
12;12,60;12,12;0,48;25
13;14,84;13,55;1,29;51
14;14,29;10,76;3,53;61
15;18,95;17,95;1,00;45
16;13,53;12,53;1,00;45
17;1,00;99,00;98,00;62
18;16,04;18,81;2,77;59
19;20,71;17,99;2,72;58
20;14,96;15,88;0,92;43
21;17,48;19,09;1,61;55
22;14,71;17,69;2,98;60
23;17,32;18,02;0,70;36
24;10,90;11,06;0,16;7
25;1,00;99,00;98,00;62
26;14,77;15,45;0,68;33
27;1,00;99,00;98,00;62
28;1,00;99,00;98,00;62
29;15,42;15,19;0,23;11
30;12,06;12,29;0,23;11
31;11,16;10,62;0,54;27
32;15,52;14,89;0,63;30
33;12,76;12,66;0,10;5
34;1,00;99,00;98,00;62
35;18,00;17,31;0,69;35
36;11,75;12,15;0,40;21
37;21,39;19,43;1,96;56
38;15,35;14,74;0,61;29
39;17,30;16,86;0,44;23
40;10,77;10,98;0,21;10
41;13,10;12,85;0,25;13
42;1,00;99,00;98,00;62
43;14,12;13,12;1,00;45
44;11,34;11,35;0,01;2
45;1,00;99,00;98,00;62
46;12,39;11,57;0,82;39
47;13,30;12,65;0,65;31
48;15,12;13,63;1,49;54
49;12,27;12,47;0,20;8
50;12,96;11,91;1,05;48
51;1,00;99,00;98,00;62
52;14,42;12,34;2,08;57
53;12,57;11,43;1,14;50
54;17,21;16,82;0,39;18
55;11,04;11,30;0,26;15
56;13,52;12,60;0,92;43
57;14,32;12,91;1,41;53
58;12,57;12,22;0,35;17
59;13,20;12,40;0,80;37
60;1,00;99,00;98,00;62
61;1,00;99,00;98,00;62
62;13,83;13,58;0,25;13
63;1,00;99,00;98,00;62
64;1,00;99,00;98,00;62
65;13,85;15,18;1,33;52
66;12,18;11,79;0,39;18
67;14,67;15,47;0,80;37
68;10,91;11,05;0,14;6
69;14,94;14,94;0,00;1
70;11,42;11,72;0,30;16
71;12,50;12,70;0,20;8
72;15,49;14,81;0,68;33
73;14,22;15,34;1,12;49
74;1,00;99,00;98,00;62
