Platz;Start Nr.;Gesamtzeit;Zeit 1;Zeit 2
1;19;9,59;4,76;4,83
2;12;9,60;5,11;4,49
3;46;9,72;3,94;5,78
4;4;10,03;4,65;5,38
5;1;10,05;4,94;5,11
6;41;10,06;4,82;5,24
7;2;10,20;5,09;5,11
8;3;10,21;5,16;5,05
8;40;10,21;5,11;5,10
10;10;10,31;5,21;5,10
10;63;10,31;5,01;5,30
12;15;10,34;4,94;5,40
12;28;10,34;5,12;5,22
14;5;10,45;5,34;5,11
15;31;10,47;5,01;5,46
16;26;10,48;5,18;5,30
17;37;10,55;5,39;5,16
18;68;10,56;5,09;5,47
19;67;10,58;5,22;5,36
20;7;10,62;5,27;5,35
21;49;10,75;5,47;5,28
22;30;10,77;5,34;5,43
23;42;10,83;5,56;5,27
24;57;10,84;5,51;5,33
25;27;10,88;5,18;5,70
26;18;10,92;5,23;5,69
27;22;10,94;5,55;5,39
28;61;10,99;5,52;5,47
29;43;11,00;5,72;5,28
30;56;11,01;5,50;5,51
31;33;11,07;5,54;5,53
32;17;11,12;5,55;5,57
33;36;11,17;5,59;5,58
33;50;11,17;5,60;5,57
35;8;11,20;5,55;5,65
36;55;11,21;5,52;5,69
37;45;11,28;5,19;6,09
38;9;11,30;5,58;5,72
39;51;11,32;5,72;5,60
40;16;11,34;5,55;5,79
41;32;11,36;5,63;5,73
42;54;11,39;5,66;5,73
43;11;11,58;5,85;5,73
43;47;11,58;5,96;5,62
45;21;11,62;5,82;5,80
46;58;11,63;5,72;5,91
47;25;11,64;5,58;6,06
48;23;11,65;5,37;6,28
49;53;11,66;5,84;5,82
50;52;11,75;5,89;5,86
51;20;11,80;5,63;6,17
52;24;11,86;6,02;5,84
53;35;11,88;5,70;6,18
54;60;11,98;5,90;6,08
55;69;12,01;5,87;6,14
56;29;12,06;5,60;6,46
57;65;12,17;5,91;6,26
58;34;12,19;6,10;6,09
59;38;12,67;6,25;6,42
59;64;12,67;6,34;6,33
61;14;12,78;6,87;5,91
62;66;12,92;6,21;6,71
63;39;13,08;7,02;6,06
64;48;14,33;7,05;7,28
65;71;14,44;7,16;7,28
66;6;199,98;99,99;99,99
66;13;199,98;99,99;99,99
66;44;199,98;99,99;99,99
66;59;199,98;99,99;99,99
66;62;199,98;99,99;99,99
66;70;199,98;99,99;99,99
66;72;199,98;99,99;99,99
66;73;199,98;99,99;99,99
66;74;199,98;99,99;99,99
