Start Nr.;Platz;Zeitdifferenz;Zeit 1;Zeit 2
1;73;59:00,00;0:00,00;59:00,00
2;12;0:00,83;2:08,79;2:07,96
3;33;0:02,66;2:02,87;2:00,21
4;36;0:03,13;1:51,74;1:48,61
5;40;0:04,10;1:45,83;1:49,93
6;29;0:02,13;1:44,92;1:42,79
7;54;0:08,41;1:45,74;1:54,15
8;49;0:05,62;2:14,15;2:08,53
9;38;0:03,81;1:50,44;1:54,25
10;27;0:01,92;2:06,73;2:04,81
11;16;0:01,20;2:28,72;2:27,52
12;26;0:01,90;1:56,88;1:58,78
13;63;59:00,00;0:00,00;59:00,00
14;42;0:04,53;1:53,96;1:49,43
15;15;0:01,12;2:31,54;2:30,42
16;63;59:00,00;0:00,00;59:00,00
17;8;0:00,45;1:44,91;1:45,36
18;46;0:05,31;1:49,20;1:54,51
19;14;0:01,09;1:37,72;1:38,81
20;1;0:00,12;2:05,19;2:05,07
21;34;0:02,84;1:57,68;1:54,84
22;9;0:00,56;2:06,07;2:06,63
23;17;0:01,26;1:58,12;1:56,86
24;61;0:16,74;2:15,97;1:59,23
25;31;0:02,22;2:19,12;2:16,90
26;57;0:09,50;2:01,60;2:11,10
27;43;0:04,75;1:56,67;1:51,92
28;52;0:07,52;1:56,62;2:04,14
29;23;0:01,77;1:58,17;1:59,94
30;45;0:04,95;2:06,82;2:11,77
31;22;0:01,71;2:18,41;2:16,70
32;59;0:11,94;2:47,97;2:59,91
33;11;0:00,80;2:34,44;2:33,64
34;7;0:00,45;2:50,30;2:50,75
35;53;0:08,24;3:34,60;3:26,36
36;19;0:01,44;2:19,27;2:17,83
37;4;0:00,29;2:06,75;2:07,04
38;60;0:12,63;3:23,84;3:36,47
39;18;0:01,30;2:40,33;2:39,03
40;63;59:00,00;0:00,00;59:00,00
41;5;0:00,30;1:55,23;1:55,53
42;32;0:02,54;2:09,60;2:07,06
43;21;0:01,62;1:54,20;1:55,82
44;73;59:00,00;0:00,00;59:00,00
45;10;0:00,75;2:01,16;2:00,41
46;51;0:07,37;2:01,41;1:54,04
47;62;0:49,74;1:59,06;2:48,80
48;50;0:06,45;2:12,63;2:19,08
49;41;0:04,47;2:10,11;2:05,64
50;3;0:00,17;2:34,78;2:34,61
51;58;0:11,18;2:13,24;2:24,42
52;37;0:03,38;2:32,07;2:28,69
53;6;0:00,30;1:53,74;1:53,44
54;56;0:09,49;2:11,35;2:20,84
55;28;0:02,06;1:58,21;1:56,15
56;13;0:00,89;1:56,29;1:55,40
57;25;0:01,86;1:46,63;1:44,77
58;63;59:00,00;0:00,00;59:00,00
59;63;59:00,00;0:00,00;59:00,00
60;30;0:02,17;2:10,42;2:12,59
61;35;0:02,89;2:07,87;2:10,76
62;63;59:00,00;0:00,00;59:00,00
63;39;0:03,82;1:58,40;2:02,22
64;2;0:00,15;2:40,64;2:40,79
65;47;0:05,45;2:20,64;2:15,19
66;24;0:01,78;2:12,44;2:10,66
67;48;0:05,48;1:58,63;2:04,11
68;44;0:04,91;2:27,61;2:22,70
69;20;0:01,60;2:13,51;2:15,11
70;63;59:00,00;0:00,00;59:00,00
71;55;0:09,00;2:36,97;2:45,97
72;63;59:00,00;0:00,00;59:00,00
73;63;59:00,00;0:00,00;59:00,00
74;63;59:00,00;0:00,00;59:00,00
