Start Nr.;Platz;Zeitdifferenz;Zeit 1;Zeit 2
1;64;98,00;1,00;99,00
2;29;0,47;15,17;15,64
3;2;0,02;14,70;14,68
4;3;0,03;15,16;15,19
5;32;0,61;10,82;11,43
6;38;0,77;11,61;12,38
7;14;0,16;12,25;12,09
8;59;2,34;14,56;16,90
9;1;0,01;14,40;14,39
10;26;0,43;15,77;15,34
11;20;0,31;19,07;19,38
12;23;0,35;15,84;16,19
13;64;98,00;1,00;99,00
14;45;0,98;15,66;14,68
15;54;1,52;25,55;24,03
16;64;98,00;1,00;99,00
17;19;0,30;13,34;13,64
18;61;3,26;18,48;15,22
19;57;2,09;12,83;14,92
20;31;0,57;13,75;13,18
21;40;0,81;13,31;14,12
22;5;0,05;15,57;15,62
23;17;0,24;15,01;14,77
24;26;0,43;14,83;14,40
25;39;0,78;14,13;14,91
26;41;0,83;15,44;16,27
27;18;0,26;15,10;14,84
28;15;0,17;14,53;14,70
29;10;0,11;14,00;13,89
30;9;0,10;15,39;15,49
31;10;0,11;17,51;17,62
32;6;0,08;20,12;20,04
33;25;0,36;20,98;20,62
34;52;1,27;22,99;24,26
35;58;2,24;23,13;25,37
36;34;0,65;17,06;17,71
37;63;6,17;16,02;22,19
38;50;1,18;37,27;36,09
39;62;4,39;26,74;22,35
40;64;98,00;1,00;99,00
41;22;0,33;14,82;14,49
42;48;1,08;14,79;13,71
43;13;0,15;14,11;14,26
44;64;98,00;1,00;99,00
45;10;0,11;16,59;16,70
46;7;0,09;13,32;13,41
47;3;0,03;14,34;14,37
48;7;0,09;18,83;18,74
49;33;0,62;16,71;17,33
50;49;1,13;20,66;19,53
51;23;0,35;18,13;18,48
52;16;0,22;20,66;20,88
53;37;0,71;18,02;18,73
54;44;0,96;17,26;18,22
55;30;0,50;12,68;13,18
56;21;0,31;18,14;17,83
57;35;0,66;11,80;11,14
58;55;1,88;18,39;20,27
59;64;98,00;1,00;99,00
60;60;2,34;16,59;14,25
61;42;0,84;16,99;17,83
62;64;98,00;1,00;99,00
63;51;1,19;14,47;13,28
64;45;0,98;20,09;19,11
65;35;0,66;16,12;15,46
66;43;0,85;15,90;16,75
67;28;0,45;12,51;12,06
68;56;1,93;19,22;17,29
69;53;1,47;17,13;15,66
70;64;98,00;1,00;99,00
71;47;1,01;23,16;24,17
72;64;98,00;1,00;99,00
73;64;98,00;1,00;99,00
74;64;98,00;1,00;99,00
