Platz;Start Nr.;Gesamtpunkte;Trial Punkte 1;Trial Punkte 2
1;4;0;0;0
1;6;0;0;0
1;12;0;0;0
1;57;0;0;0
5;5;1;1;0
5;19;1;0;1
5;45;1;1;0
8;37;2;1;1
9;10;3;2;1
9;17;3;3;0
9;55;3;2;1
12;9;4;3;1
12;15;4;3;1
14;21;5;5;0
14;24;5;3;2
14;28;5;5;0
14;56;5;3;2
18;23;6;3;3
18;26;6;3;3
18;30;6;3;3
18;34;6;3;3
18;36;6;3;3
18;41;6;3;3
18;46;6;1;5
18;47;6;5;1
18;49;6;3;3
18;52;6;3;3
18;63;6;3;3
18;65;6;3;3
18;67;6;5;1
31;7;8;3;5
31;8;8;3;5
31;18;8;3;5
31;25;8;3;5
31;27;8;5;3
31;33;8;5;3
31;39;8;3;5
31;42;8;5;3
31;53;8;5;3
31;61;8;3;5
31;66;8;5;3
31;69;8;5;3
43;2;10;5;5
43;3;10;5;5
43;11;10;5;5
43;14;10;5;5
43;20;10;5;5
43;22;10;5;5
43;29;10;5;5
43;31;10;5;5
43;32;10;5;5
43;35;10;5;5
43;38;10;5;5
43;43;10;5;5
43;48;10;5;5
43;50;10;5;5
43;51;10;5;5
43;60;10;5;5
43;68;10;5;5
43;71;10;5;5
61;58;25;5;20
62;1;40;20;20
62;13;40;20;20
62;16;40;20;20
62;40;40;20;20
62;44;40;20;20
62;54;40;20;20
62;59;40;20;20
62;62;40;20;20
62;64;40;20;20
62;70;40;20;20
62;72;40;20;20
62;73;40;20;20
62;74;40;20;20
